Reviewer,Rating,Date,Content,Likes
Mark,3.5,2022-03-01,"Strong early career performance from Brigitte Lin, and a quick but solid one from Sylvia Chang as well, both of whom would memorably star in Shaw's Dream of the Red Chamber from the following year.
Has a significantly bloodier flag-raising than Iwo Jima.
Fascinating battle, due to its location on the border of the Foreign Concessions it essentially turned the fighting into a theatrical event for the European powers.",2
Zenobia,2.5,2024-11-09,"說真的，我國小的時候很喜歡國旗歌🥹（這可以開k歌場嗎（蛤
但很難說好不好看欸，可能對那個年代很有效吧？煽情還是蠻到位的，但群眾演員搶拍跳起來真的每次都很想笑。有些畫面拖很久很水片長，可能是表現國軍多麼堅定不移吧，不曉得。",0
Michael Benson,4,2024-05-23,I'm so in love with this movie. Everything i needed today.,1
damug,3.5,2018-09-16,"This movie is 100 solid minutes of China and Japan fighting in the the early 1930s. It has bomber raids, beach landings, sword fights, naval bombardments, makeshift last stand fortifications, girl scouts, donation drives and everything you could ever want in a war movie.",1
Invincible Asia,4,2017-08-18,"A gripping war film about the 1937 defense of a strategically important chokepoint in Shanghai, that features some amazing tracking shots and battle scenes of absolutely epic proportions and in the midst of it all is 23yo Brigitte Lin as the heroic, real life girl scout who helped the Chinese army prevail and saving hundreds of civilians in the process too. The ""animated"" map just adds to the film's charms and it's not even as crazy patriotic as some more recent mainland productions - it is a Taiwanese production after all.",1
Justin Nakrin,3.5,2025-04-28,Salute to Commander Xie and the brave defenders of the 88th Division!,0
Danny Wilhelm,3,2025-02-19,"1937: Der zweite japanisch-Chinesische Krieg ist vollem Gange. Die Metropole Shanghai ist Ort des ersten größeren Waffengangs zwischen den Kriegsparteien. In einem Kaufhaus verteidigen sich ein paar Hundert Soldaten der NRA gegen die japanische Übermacht...
The 800 von 1976. Durchaus aufwendig, auch hier trieft das Pathos an manchen Stellen und es wird kurz kitschig. Die Kriegsszenen sind sogar nachvollziehbarer als im letztjährigen Blockbuster. Dafür sind die Sterbeszenen sehr artistisch gehalten. Jeder Getroffene springt nochmal kurz mit Schwung ab oder lässt… more",0
Harrison Ma,3,2020-08-14,虽说叫八百壮士，但前三分之一都是淞沪会战的流水账。,0
hansontang,2.5,2024-11-21,TGHFF61·12 113min修復,0
ingrid__0000,3,2024-11-09,"二刷50年前的愛國名片，用現在的眼光來看，劇情很多嘈點，台詞也蠻中二的，我中間忍不住笑場好幾次，明明是嚴肅的愛國電影😂。
片子剛開始的「鐵拳計劃」、某某某想和日本人「幹架」、「五點之前，日本人做莊；五點之後，咱們做莊」、爆破場景的演員是自己跳下去而不是被炸飛、動作戲掉幀、過紅的血漿、遠景的建築物是60年代的現代建築、一群大人願意聽一個十七歲小妹妹的話，這些現代不可能發生的中二台詞，或是穿幫畫面，我認為都很可愛。
大中國思想下的愛國電影，電影中放了兩遍「中國一定強」，讓我有點出戲。片中的黃埔精神，早已不復存在；現今的軍人，確實跟片中說的一樣，無所事事。謝晉元團長說：「我出了戰場，不知道能做什麼」，十分令人難過。
本修復片整體色調偏亮，亮到有些段落稍嫌過曝；字幕字體的邊緣是圓的，不是常見的標楷體或是微軟正黑體，蠻特別的；英文字幕也翻譯得十分用心，不是亂翻。
大銀幕把之前看DVD時，兩邊被裁掉的畫面補上了。",0
Jason Hades,3.5,2024-11-09,7.5/10,0
MindyYong,4,2024-11-09,"每次看升國旗那幕 心情都好複雜，也想一起敬禮
#金馬影展",0
